 ,courtship_time,mate_time ,indicator,,courtship_time,mate_time ,indicator,,,,,courtship_time,mate_time ,indicator,,,
1,870.346,0,1,,1079.87,0,1,,-209.524,0,,948.996,0,1,,-78.65,0
2,21.1364,1193.22,0.0174055,,0.10049,935.564,0.0001074,,21.03591,257.656,,277.956,936.401,0.228891,,-256.8196,256.819
3,456.628,0,1,,421.155,1279.41,0.247656,,35.473,-1279.41,,710.466,0,1,,-253.838,0
4,90.6087,1093.97,0.0764902,,85.4837,1096.52,0.0723213,,5.125,-2.54999999999995,,605.889,0,1,,-515.2803,1093.97
5,35.6405,1742.43,0.0200445,,120.521,1739.99,0.0647786,,-84.8805,2.44000000000005,,33.4632,1743.44,0.0188324,,2.1773,-1.00999999999999
6,328.101,357.946,0.478248,,238.664,435.625,0.353949,,89.437,-77.679,,326.727,356.472,0.478231,,1.37400000000002,1.47400000000005
7,163.699,945.111,0.147635,,29.1757,1017.13,0.0278845,,134.5233,-72.019,,176.193,937.875,0.158153,,-12.494,7.23599999999999
8,138.911,989.628,0.123089,,136.767,992.341,0.121129,,2.14400000000001,-2.71299999999997,,170.733,409.531,0.294233,,-31.822,580.097
9,1016.32,828.04,0.551043,,794.007,829.882,0.488954,,222.313,-1.84199999999998,,1007.01,527.808,0.656111,,9.31000000000006,300.232
10,11.7574,1449.1,0.00804824,,676.199,0,1,,-664.4416,1449.1,,12.7288,1449.1,0.00870741,,-0.971399999999999,0
11,26.9984,1151.18,0.0229153,,509.552,0,1,,-482.5536,1151.18,,27.6683,1151.15,0.0234712,,-0.669899999999998,0.029999999999973
12,586.294,0,1,,659.886,0,1,,-73.592,0,,574.302,0,1,,11.992,0
13,32.2574,1338.83,0.0235268,,2.24428,1336.35,0.00167659,,30.01312,2.48000000000002,,35.808,1339.7,0.0260325,,-3.5506,-0.870000000000118
14,126.383,930.942,0.119531,,104.51,928.362,0.101184,,21.873,2.58000000000004,,128.527,931.879,0.121205,,-2.14399999999999,-0.937000000000012
15,6.26389,1251.4,0.00498056,,7.53677,1249.76,0.00599441,,-1.27288,1.6400000000001,,4.58905,1251.4,0.00365372,,1.67484,0
16,337.781,898.718,0.273175,,189.86,1190.47,0.137546,,147.921,-291.752,,221.079,1045.84,0.174502,,116.702,-147.122
17,695.526,0,1,,730.296,0,1,,-34.7700000000001,0,,764.731,0,1,,-69.205,0
18,13.8677,0,1,,20.5335,0,1,,-6.6658,0,,9.71406,0,1,,4.15364,0
19,84.3448,1060.04,0.0737033,,100.222,1065.36,0.0859844,,-15.8772,-5.31999999999994,,197.597,980.751,0.16769,,-113.2522,79.289
20,315.975,0,1,,335.336,0,1,,-19.361,0,,469.423,0,1,,-153.448,0
21,23.2132,695.627,0.0322926,,68.4673,692.713,0.089949,,-45.2541,2.91399999999999,,16.2794,688.023,0.0231142,,6.9338,7.60399999999993
22,586.762,603.544,0.492951,,650.272,836.246,0.437446,,-63.5100000000001,-232.702,,1002.91,702.41,1,,-1116.148,603.544
23,15.509,1369.58,0.0111971,,0.0334967,809.114,4.13976E-05,,15.4755033,560.466,,15.241,1374.54,0.0109665,,0.268000000000001,-4.96000000000004
24,479.941,620.929,0.435965,,15.174,1071.23,0.0139673,,464.767,-450.301,,481.382,472.74,0.504529,,-1.44100000000003,148.189
25,17.9208,1385.59,0.0127685,,629.27,0,1,,-611.3492,1385.59,,18.7247,1383.95,0.0133493,,-0.803899999999999,1.63999999999987
26,274.171,784.929,0.258872,,11.3554,865.556,0.0129493,,262.8156,-80.6270000000001,,279.999,785.465,0.262796,,-5.82800000000003,-0.536000000000058
27,351.682,995.691,0.261013,,17.1503,1297.83,0.0130423,,334.5317,-302.139,,317.851,1031.83,0.2355,,33.831,-36.1389999999999
28,43.3113,1350.49,0.0310743,,50.5801,1350.92,0.0360899,,-7.2688,-0.430000000000064,,46.3595,1350.49,0.0331887,,-3.04819999999999,0
29,185.974,1380.7,0.118706,,11.6904,1553.58,0.0074686,,174.2836,-172.88,,14.8056,1551.44,0.00945293,,171.1684,-170.74
30,916.437,0,1,,598.352,0,1,,318.085,0,,783.187,0,1,,133.25,0
31,778.665,595.572,0.566616,,0.0334967,1333.17,2.5125E-05,,778.6315033,-737.598,,334.766,670.337,0.333067,,443.899,-74.765
32,594.266,484.095,0.551083,,592.323,486.038,0.549281,,1.94299999999998,-1.94299999999998,,484.53,598.386,0.447431,,109.736,-114.291
33,7.2018,1369.15,0.00523254,,415.494,0,1,,-408.2922,1369.15,,8.54167,1644.05,0.00516864,,-1.33987,-274.9
34,23.3807,1095.18,0.0209026,,0.736928,1092.16,0.000674288,,22.643772,3.01999999999998,,27.3333,1094.67,0.0243611,,-3.9526,0.509999999999991
35,2941.01,0,1,,1756.1,0,1,,1184.91,0,,2896.56,0,1,,44.4500000000003,0
36,42.1724,1332.13,0.0306864,,0.0334967,1332.84,2.51313E-05,,42.1389033,-0.709999999999809,,42.1389,1330.59,0.0306972,,0.033500000000004,1.54000000000019
,1倍速刘笑代码,,,,5倍速源代码,,,,,,,1倍速源代码,,,,,
